frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail,t_str,cluster_size,in_anomaly,iei_prev,iei_prev2,density_1s,density_3s,density_10s,density_60s,recent_cv_5s,burst_score,n_same_group_3s,grp_biwa,grp_kakko,grp_koto,grp_shoko,grp_taiko,cluster,cluster_label,sml
171039,2026-05-04T16:18:47.407685,1777925927.4076853,11675.891307115557,66303,,93,269,91,266,5,6,-0.2376165467140651,255.31678024760396,koto,0,no_slots_existing,"active_rects=6, max=6",194:35.891,3,False,-0.4413146372107941,-0.0164334773999144,0.1120802060731674,1.1086509420720194,0.4058143360799247,-0.2183989196237706,-0.3911557270244935,-0.1214594229492926,1.633726257109483,False,False,True,False,False,0,baseline,M
171245,2026-05-04T16:19:01.439827,1777925941.4398267,11689.923448562622,66306,4190.0,290,220,288,217,4,6,-0.2376165467140651,90.0,biwa,1,,,194:49.923,3,False,1.442024176084271,13.488933563228784,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,-0.2183989196237706,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,1,after_silence,L
171255,2026-05-04T16:19:02.127790,1777925942.1277895,11690.611411333084,66309,4193.0,290,220,288,217,4,6,-0.2376165467140651,90.0,biwa,1,,,194:50.611,4,False,-0.4211038106752645,-13.344178676603406,0.1120802060731674,-0.6084837067119415,-0.9134493982209164,-0.2183989196237706,-0.633222859440811,1.647370167615892,-0.4277640115732564,True,False,False,False,False,3,small_burst,M
171263,2026-05-04T16:19:02.671677,1777925942.6716769,11691.15529870987,66313,,290,220,288,217,4,6,-0.2376165467140651,90.0,biwa,0,no_slots_existing,"active_rects=6, max=6",194:51.155,5,False,-0.4412197657046444,-0.1440753936767578,0.1120802060731674,-0.1792000445159513,-0.6495966513607481,-0.1034829780230753,-0.633222859440811,1.6473569014713485,0.0876085555974285,True,False,False,False,False,0,baseline,M
171274,2026-05-04T16:19:03.423680,1777925943.4236798,11691.907301664352,66318,,290,220,288,217,4,6,-0.2376165467140651,90.0,biwa,0,global_suppression,suppress_until=1777925944.420,194:51.907,1,False,-0.4121624541468221,0.2081155776977539,0.1120802060731674,0.2500836176800389,-0.3857439045005799,-0.1034829780230753,-0.2802615382063409,0.7629502132697186,0.6029811227681134,True,False,False,False,False,0,baseline,M
171286,2026-05-04T16:19:04.238475,1777925944.2384746,11692.722096443176,66319,,290,220,288,217,4,6,-0.2376165467140651,90.0,biwa,0,global_suppression,suppress_until=1777925944.820,194:52.722,1,False,-0.4033953948841797,0.0627918243408203,0.1120802060731674,0.6793672798760292,-0.1218911576404117,-0.1034829780230753,-0.2360446910198805,0.3207457636633066,1.1183536899387982,True,False,False,False,False,0,baseline,L
171309,2026-05-04T16:19:05.808134,1777925945.8081336,11694.291755437853,66320,4196.0,311,123,309,121,5,4,-0.214732162164648,17.72323661688631,biwa,1,,,194:54.292,1,False,-0.2980004746839396,0.7548642158526491,-0.8968756364894584,-0.1792000445159513,0.1419615892197565,0.01143296357762,-0.1997564600478426,-1.0058720072004246,0.0876085555974285,True,False,False,False,False,0,baseline,L
171317,2026-05-04T16:19:06.351598,1777925946.351598,11694.835219860077,66321,4197.0,131,238,129,236,5,5,-0.191847777615231,263.1117417230053,koto,1,,,194:54.835,1,False,-0.4412788190566037,-1.0261945724523684,0.1120802060731674,0.2500836176800389,0.4058143360799247,0.1263489051783154,0.6082986733618265,-0.1214594229492926,-0.9431365787439412,False,False,True,False,False,0,baseline,M
171320,2026-05-04T16:19:06.543758,1777925946.543758,11695.027379751204,66322,4198.0,313,123,309,121,8,4,-0.168963393065814,18.78862198216848,biwa,1,,,194:55.027,1,False,-0.490328319938259,-0.3513045310974121,1.121036048635793,0.2500836176800389,0.6696670829400929,0.2412648467790107,0.7189072819391843,0.510264212500014,0.0876085555974285,True,False,False,False,False,0,baseline,S
171330,2026-05-04T16:19:07.232461,1777925947.232461,11695.716082811356,66323,4199.0,311,121,309,119,4,5,-0.214732162164648,17.38697217691555,biwa,1,,,194:55.716,1,False,-0.4210004506654022,0.4965431690252444,1.121036048635793,0.6793672798760292,0.933519829800261,0.3561807883797061,1.1328185528268626,0.3207474219334473,0.6029811227681134,True,False,False,False,False,0,baseline,M
