objectID,title,department,objectName,classification,medium,isPublicDomain,best_image_url,primaryImage_exists,primaryImageSmall_exists,additionalImages_count
448088,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/DP368800.jpg,True,True,6
476,Bust of Benjamin Franklin,The American Wing,Bust,,Parian porcelain,True,https://images.metmuseum.org/CRDImages/ad/web-large/DP235501.jpg,True,True,0
448089,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_45.jpg,True,True,1
487,Mask Cast of Benjamin Franklin,The American Wing,Mask cast,,Painted plaster,True,https://images.metmuseum.org/CRDImages/ad/web-large/25801.jpg,True,True,0
500,Portrait of Benjamin Franklin,The American Wing,Painting,,Silk,True,https://images.metmuseum.org/CRDImages/ad/web-large/25656.jpg,True,True,0
708596,Chimney piece with images of Adam and Eve,The American Wing,Chimney piece,,Wool and silk embroidery on linen,True,https://images.metmuseum.org/CRDImages/ad/web-large/DP-950-001.jpg,True,True,0
539,"Birth, Baptismal, and Marriage Certificate",The American Wing,"Birth, baptismal and marriage certificate, Fraktur",,Ink and watercolor on paper,True,https://images.metmuseum.org/CRDImages/ad/web-large/97420.jpg,True,True,0
552,Bonnet,The American Wing,Bonnet,,Palm leaf,True,https://images.metmuseum.org/CRDImages/ad/web-large/ADA5428.jpg,True,True,1
600,Sack bottle,The American Wing,Sack bottle,,Tin-enameled earthenware,True,https://images.metmuseum.org/CRDImages/ad/web-large/111781.jpg,True,True,1
648,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112929.jpg,True,True,0
649,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112931.jpg,True,True,0
650,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112932.jpg,True,True,0
651,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112933.jpg,True,True,0
652,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112934.jpg,True,True,0
653,Fragment of a Bottle,The American Wing,Bottle fragment,,Free-blown non-lead glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/112935.jpg,True,True,0
448099,Band,Islamic Art,Band,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/69069.jpg,True,True,0
750286,Terracotta fragment of a lid,Greek and Roman Art,Lid fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12319_1_ff.jpg,True,True,1
448100,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_56.jpg,True,True,1
562723,"Relief fragment, tomb of Meketre - see 20.3.407",Egyptian Art,"Relief fragment, tomb of Meketre",,"Limestone, paint",True,https://images.metmuseum.org/CRDImages/eg/web-large/image-number-only.jpg,True,True,0
448101,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_57.jpg,True,True,1
792,Bowl,The American Wing,Bowl,,Lacy pressed glass,True,https://images.metmuseum.org/CRDImages/ad/web-large/153430.jpg,True,True,0
750288,Terracotta fragment of an undetermined shape,Greek and Roman Art,Undetermined shape,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11967_1_ff.jpg,True,True,1
750289,Terracotta fragment of a plate?,Greek and Roman Art,Plate fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11921_1_ff.jpg,True,True,1
448103,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/69166.jpg,True,True,0
750290,Terracotta fragment of a phiale (libation bowl),Greek and Roman Art,Phiale fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11917_1_ff.jpg,True,True,1
750291,Terracotta fragment of a lekanis (covered dish),Greek and Roman Art,Lekanis fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11916_1_ff.jpg,True,True,1
719031,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB06814_1_ff.jpg,True,True,1
750292,Terracotta fragment of a fish plate,Greek and Roman Art,Fish plate fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11915_1_ff.jpg,True,True,1
263070,[Family Portrait],Photographs,Photographs; Collage,Photographs,Salted paper prints with applied media,True,https://images.metmuseum.org/CRDImages/ph/web-large/DT8784.jpg,True,True,0
936,Box,The American Wing,Box,,"Walnut, maple",True,https://images.metmuseum.org/CRDImages/ad/web-large/202293.jpg,True,True,0
956,Bracelet,The American Wing,Bracelet,,Pearl,True,https://images.metmuseum.org/CRDImages/ad/web-large/117833.jpg,True,True,1
719035,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB08164_1_ff.jpg,True,True,1
263161,Afghans,Photographs,Photograph,Photographs,Salted paper print from paper negative,True,https://images.metmuseum.org/CRDImages/ph/web-large/DP352701.jpg,True,True,1
1025,Brooch,The American Wing,Brooch,,"Emerald, diamonds, platinum",True,https://images.metmuseum.org/CRDImages/ad/web-large/DP-42797-001.jpg,True,True,6
1027,Brooch,The American Wing,Brooch,,Silver,True,https://images.metmuseum.org/CRDImages/ad/web-large/187065.jpg,True,True,0
1028,Brooch,The American Wing,Brooch,,"Pearls, gold",True,https://images.metmuseum.org/CRDImages/ad/web-large/117831.jpg,True,True,1
719038,Terracotta rim fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment; lipped inside,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB07744_1_ff.jpg,True,True,1
1084,Cabinet,The American Wing,Cabinet,,"Rosewood, tulipwood, cherry, poplar, pine",True,https://images.metmuseum.org/CRDImages/ad/web-large/68.100.1.jpg,True,True,3
1109,Cameo,The American Wing,Brooch,,"Onyx, gold, diamonds",True,https://images.metmuseum.org/CRDImages/ad/web-large/170259.jpg,True,True,0
1115,Cameo Locket,The American Wing,Locket,,"Sardonyx, gold",True,https://images.metmuseum.org/CRDImages/ad/web-large/25915.jpg,True,True,0
696080,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB04708_1_ff.jpg,True,True,1
719044,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment; lipped inside and out,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB07832_1_ff.jpg,True,True,1
787735,Neriz Double Saddle Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton,True,https://images.metmuseum.org/CRDImages/is/web-large/K-1.JPG,True,True,0
787736,Kirghiz Bag Face,Islamic Art,Saddle bag,Textiles,Wool and cotton,True,https://images.metmuseum.org/CRDImages/is/web-large/K-2.JPG,True,True,0
787737,Shahsevan Double Saddle Bag (Pair),Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak brocaded,True,https://images.metmuseum.org/CRDImages/is/web-large/K-5.jpg,True,True,0
787740,Shahsevan Double Saddle Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton,True,https://images.metmuseum.org/CRDImages/is/web-large/K-6.jpg,True,True,0
787741,Shahsevan Double Saddle Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-7 1.jpg,True,True,0
787743,Shahsevan Saddle Bag Face,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-8.jpg,True,True,0
787745,Shahsevan Saddle Bag Face,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-9.jpg,True,True,0
787747,Shahsevan Double Saddle Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-10.jpg,True,True,0
787748,Qarabagh Small Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-11.jpg,True,True,0
787751,Shahsevan Double Saddle Bag,Islamic Art,Saddle bag,Textiles,Wool and cotton,True,https://images.metmuseum.org/CRDImages/is/web-large/K-12.jpg,True,True,0
787752,Shahsevan Saddle Bag Face,Islamic Art,Saddle bag,Textiles,Wool and cotton; sumak technique,True,https://images.metmuseum.org/CRDImages/is/web-large/K-13.jpg,True,True,0
